,n_estimators,random_state,min_samples_split,min_samples_leaf,bootstrap,max_depth,Train Gini,Test Gini
0,1.0,0.0,2.0,1.0,1.0,1.0,0.131578947368421,0.0249750249750249
0,1.0,0.0,2.0,1.0,1.0,21.0,0.6978810663021189,0.0479520479520481
0,1.0,0.0,2.0,1.0,1.0,41.0,0.6978810663021189,0.0479520479520481
0,1.0,0.0,2.0,21.0,1.0,1.0,0.2047163362952837,0.1465201465201464
0,1.0,0.0,2.0,21.0,1.0,21.0,0.3004101161995898,0.0785880785880785
0,1.0,0.0,2.0,21.0,1.0,41.0,0.3004101161995898,0.0785880785880785
0,1.0,0.0,2.0,41.0,1.0,1.0,0.0,0.0
0,1.0,0.0,2.0,41.0,1.0,21.0,0.0,0.0
0,1.0,0.0,2.0,41.0,1.0,41.0,0.0,0.0
0,1.0,0.0,22.0,1.0,1.0,1.0,0.131578947368421,0.0249750249750249
0,1.0,0.0,22.0,1.0,1.0,21.0,0.3421052631578947,0.2650682650682652
0,1.0,0.0,22.0,1.0,1.0,41.0,0.3421052631578947,0.2650682650682652
0,1.0,0.0,22.0,21.0,1.0,1.0,0.2047163362952837,0.1465201465201464
0,1.0,0.0,22.0,21.0,1.0,21.0,0.3004101161995898,0.0785880785880785
0,1.0,0.0,22.0,21.0,1.0,41.0,0.3004101161995898,0.0785880785880785
0,1.0,0.0,22.0,41.0,1.0,1.0,0.0,0.0
0,1.0,0.0,22.0,41.0,1.0,21.0,0.0,0.0
0,1.0,0.0,22.0,41.0,1.0,41.0,0.0,0.0
0,1.0,0.0,42.0,1.0,1.0,1.0,0.131578947368421,0.0249750249750249
0,1.0,0.0,42.0,1.0,1.0,21.0,0.1828434723171565,0.1555111555111554
0,1.0,0.0,42.0,1.0,1.0,41.0,0.1828434723171565,0.1555111555111554
0,1.0,0.0,42.0,21.0,1.0,1.0,0.2047163362952837,0.1465201465201464
0,1.0,0.0,42.0,21.0,1.0,21.0,0.3004101161995898,0.0785880785880785
0,1.0,0.0,42.0,21.0,1.0,41.0,0.3004101161995898,0.0785880785880785
0,1.0,0.0,42.0,41.0,1.0,1.0,0.0,0.0
0,1.0,0.0,42.0,41.0,1.0,21.0,0.0,0.0
0,1.0,0.0,42.0,41.0,1.0,41.0,0.0,0.0
0,21.0,0.0,2.0,1.0,1.0,1.0,0.6066302118933697,0.4955044955044956
0,21.0,0.0,2.0,1.0,1.0,21.0,1.0,0.3180153180153182
0,21.0,0.0,2.0,1.0,1.0,41.0,1.0,0.3180153180153182
0,21.0,0.0,2.0,21.0,1.0,1.0,0.4634313055365686,0.4545454545454546
0,21.0,0.0,2.0,21.0,1.0,21.0,0.605604921394395,0.4245754245754245
0,21.0,0.0,2.0,21.0,1.0,41.0,0.605604921394395,0.4245754245754245
0,21.0,0.0,2.0,41.0,1.0,1.0,0.0,0.0
0,21.0,0.0,2.0,41.0,1.0,21.0,0.0,0.0
0,21.0,0.0,2.0,41.0,1.0,41.0,0.0,0.0
0,21.0,0.0,22.0,1.0,1.0,1.0,0.6066302118933697,0.4955044955044956
0,21.0,0.0,22.0,1.0,1.0,21.0,0.8865345181134656,0.3399933399933399
0,21.0,0.0,22.0,1.0,1.0,41.0,0.8865345181134656,0.3399933399933399
0,21.0,0.0,22.0,21.0,1.0,1.0,0.4634313055365686,0.4545454545454546
0,21.0,0.0,22.0,21.0,1.0,21.0,0.605604921394395,0.4245754245754245
0,21.0,0.0,22.0,21.0,1.0,41.0,0.605604921394395,0.4245754245754245
0,21.0,0.0,22.0,41.0,1.0,1.0,0.0,0.0
0,21.0,0.0,22.0,41.0,1.0,21.0,0.0,0.0
0,21.0,0.0,22.0,41.0,1.0,41.0,0.0,0.0
0,21.0,0.0,42.0,1.0,1.0,1.0,0.6066302118933697,0.4955044955044956
0,21.0,0.0,42.0,1.0,1.0,21.0,0.771701982228298,0.4771894771894771
0,21.0,0.0,42.0,1.0,1.0,41.0,0.771701982228298,0.4771894771894771
0,21.0,0.0,42.0,21.0,1.0,1.0,0.4634313055365686,0.4545454545454546
0,21.0,0.0,42.0,21.0,1.0,21.0,0.605604921394395,0.4245754245754245
0,21.0,0.0,42.0,21.0,1.0,41.0,0.605604921394395,0.4245754245754245
0,21.0,0.0,42.0,41.0,1.0,1.0,0.0,0.0
0,21.0,0.0,42.0,41.0,1.0,21.0,0.0,0.0
0,21.0,0.0,42.0,41.0,1.0,41.0,0.0,0.0
0,41.0,0.0,2.0,1.0,1.0,1.0,0.5861244019138756,0.5228105228105226
0,41.0,0.0,2.0,1.0,1.0,21.0,1.0,0.2900432900432901
0,41.0,0.0,2.0,1.0,1.0,41.0,1.0,0.2900432900432901
0,41.0,0.0,2.0,21.0,1.0,1.0,0.4897470950102529,0.4785214785214784
0,41.0,0.0,2.0,21.0,1.0,21.0,0.5974025974025974,0.4798534798534799
0,41.0,0.0,2.0,21.0,1.0,41.0,0.5974025974025974,0.4798534798534799
0,41.0,0.0,2.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,41.0,0.0,2.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,41.0,0.0,2.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,41.0,0.0,22.0,1.0,1.0,1.0,0.5861244019138756,0.5228105228105226
0,41.0,0.0,22.0,1.0,1.0,21.0,0.8954203691045797,0.4019314019314017
0,41.0,0.0,22.0,1.0,1.0,41.0,0.8954203691045797,0.4019314019314017
0,41.0,0.0,22.0,21.0,1.0,1.0,0.4897470950102529,0.4785214785214784
0,41.0,0.0,22.0,21.0,1.0,21.0,0.5974025974025974,0.4798534798534799
0,41.0,0.0,22.0,21.0,1.0,41.0,0.5974025974025974,0.4798534798534799
0,41.0,0.0,22.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
