,Feature,Feature Type,# Records,# Zero's,% Zero's,# Missing,% Missing,Minimum,Mean,Median,Maximum,Skewness,Kurtosis,Normality (p > 0.05)
0,lcavol,float64,97.0,0.0,0.0,0.0,0.0,-1.35,1.35,1.45,3.82,-0.25,-0.52,0.266
0,lweight,float64,97.0,0.0,0.0,0.0,0.0,2.37,3.63,3.62,4.78,0.06,0.52,0.511
0,age,int64,97.0,0.0,0.0,0.0,0.0,41.0,63.87,65.0,79.0,-0.83,1.16,0.001
0,lbph,float64,97.0,0.0,0.0,0.0,0.0,-1.39,0.1,0.3,2.33,0.13,-1.75,0.0
0,svi,int64,97.0,76.0,7.84,0.0,0.0,0.0,0.22,0.0,1.0,1.4,-0.05,0.0
0,lcp,float64,97.0,0.0,0.0,0.0,0.0,-1.39,-0.18,-0.8,2.9,0.73,-0.96,0.0
0,gleason,int64,97.0,0.0,0.0,0.0,0.0,6.0,6.75,7.0,9.0,1.26,2.67,0.0
0,pgg45,int64,97.0,35.0,3.61,0.0,0.0,0.0,24.38,15.0,100.0,0.97,-0.27,0.002
0,lpsa,float64,97.0,0.0,0.0,0.0,0.0,-0.43,2.48,2.59,5.58,-0.0,0.59,0.47
0,TrainTestFlag,int64,97.0,49.0,5.05,0.0,0.0,0.0,0.49,0.0,1.0,0.02,-2.04,0.0
